age,recruitment_person_number,acceptance_method_code,age_limit,company_home_page_url,company_name,company_representative,company_staff_contact,company_staff_name,company_type,company_working_name,coords,deadline_status,detailed_contents,employment_shape,employment_shape_name,etc_item,from_acceptance_date,job_category,job_code,job_id,link_system_id,link_system_name,place_detail_address,recruitment_title,to_acceptance_date,work_place_code,work_place_name,x,y,zip_code
60,1,방문,,,(주)이노서브비엠,김민동,,김민동,N,(주)이노서브비엠,"127.0422987,37.4731940",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240422,,,K120142404220007,B,워크넷,"06777 서울특별시 서초구 언남길 43, 4층 (양재동, 이노빌딩)",호텔 스카이파크 대전점 시설기사 모집,20240618,010150,대전 유성구,127.0422987,37.4731940,06777
60,1,방문,,,(주)하나장터,강재홍,02-739-2653,강재홍,N,(주)하나장터,"127.0422196,37.4801883",접수중,,시간제일자리,CM0103,"고용촉진장려금대상자, 장애인 ",20240422,,,K120142404220043,B,워크넷,"06746 서울특별시 서초구 논현로27길 29, 3층 (양재동, 경희빌딩)","2024년 하나장터 고객상담 CS 계약직 & 정규직 채용 (신입, 경력)",20240621,010150,서울 서초구,127.0422196,37.4801883,06746
60,1,방문,,www.hae-chang.co.kr,해창개발(주),박규하,070-4677-5242,박규하,N,해창개발(주),"127.0257027,37.4874951",접수중,,기타,CM0105,"고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장애인 본사 공무 유경험자",20240503,,,K120142405030021,B,워크넷,"06727 서울특별시 서초구 효령로 380, 8층 (서초동)",토목회사 본사 공무담당자 모집,20240702,010150,서울 서초구,127.0257027,37.4874951,06727
60,10,방문,,,구립송파노인요양센터,이동만,070-5003-7503,이동만,N,구립송파노인요양센터,"127.1343111,37.4858015",접수중,,기타,CM0105,"보훈취업지원대상자, 장애인 ",20240424,,,K120232404240003,B,워크넷,"05792 서울특별시 송파구 충민로 184, 구립송파노인요양센터 (장지동)",요양보호사 채용공고 (상시),20240622,010180,서울 송파구,127.1343111,37.4858015,05792
60,1,방문,,,장차건설주식회사,이선창,,이선창,N,장차건설주식회사,"127.1373593,37.5008216",접수중,,기타,CM0105,장애인 건설현장사무실 경리업무 경력자,20240424,,A01005,K120232404240012,B,워크넷,"05740 서울특별시 송파구 동남로 284, 서현빌딩 3층 (오금동)",건설현장 현채직 경리직원(경력자) 구인 (부전~마산 복선전철 복구공사) (삼락오토캠핑장),20240622,010180,부산 사상구,127.1373593,37.5008216,05740
60,2,방문,,www.hanwooritc.com,（주）한우리종합컨설팅,김석진,02-6959-2348,김석진,N,（주）한우리종합컨설팅,"127.1394019,37.5368620",접수중,,기타,CM0105,장애인 ,20240503,,,K120232405030018,B,워크넷,"05353 서울특별시 강동구 양재대로 1465, 501호 (길동, 마루드림빌딩)",[ 월248만/초보가능 ]이마트 안양점 즉석조리코너 직원모집,20240531,010020,경기 안양시 동안구,127.1394019,37.5368620,05353
60,11,방문,,,서울특별시강동구도시관리공단,오미혜,02-2045-7732,오미혜,N,서울특별시강동구도시관리공단,"127.1602745,37.5654433",접수중,,기타,CM0105,"보훈취업지원대상자, 장애인 ",20240503,,,K120232405030035,B,워크넷,"05203 서울특별시 강동구 고덕비즈밸리로 26, A동 313호, 지1층 B101호 (고덕동, 강동U1센터)",강동구도시관리공단 기간제(어르신일자리) 직원 채용(청소),20240523,010020,서울 강동구,127.1602745,37.5654433,05203
60,1,방문,,,장차건설주식회사,이선창,02-2142-8581,이선창,N,장차건설주식회사,"127.1373593,37.5008216",접수중,,기타,CM0105,장애인 건설현장사무실 경리업무 경력자 우대,20240503,,A01005,K120232405030037,B,워크넷,"05740 서울특별시 송파구 동남로 284, 서현빌딩 3층 (오금동)",건설현장 현채직 경리직원(경력자) 구인 (신안산선4-1공구현장/영등포신길동),20240702,010180,서울 영등포구,127.1373593,37.5008216,05740
60,7,방문,,,서울특별시강동구도시관리공단,오미혜,02-2045-7732,오미혜,N,서울특별시강동구도시관리공단,"127.1602745,37.5654433",접수중,,기타,CM0105,"보훈취업지원대상자, 장애인 ",20240503,,,K120232405030053,B,워크넷,"05203 서울특별시 강동구 고덕비즈밸리로 26, A동 313호, 지1층 B101호 (고덕동, 강동U1센터)",강동구도시관리공단 기간제(어르신일자리) 직원 채용(시설관리/안내/주차관리 통합직군),20240523,010020,서울 강동구,127.1602745,37.5654433,05203
60,5,방문,,,서울특별시강동구도시관리공단,오미혜,02-2045-7732,오미혜,N,서울특별시강동구도시관리공단,"127.1602745,37.5654433",접수중,,기타,CM0105,"보훈취업지원대상자, 장애인 ",20240503,,,K120232405030054,B,워크넷,"05203 서울특별시 강동구 고덕비즈밸리로 26, A동 313호, 지1층 B101호 (고덕동, 강동U1센터)",강동구도시관리공단 상용직 직원 채용(시설관리/안내/주차관리 통합직군),20240523,010020,서울 강동구,127.1602745,37.5654433,05203
